date,neighborhood,center_name,attendance_count
2023-04-03,Polish Hill,West Penn Pool,27
2023-04-03,Polish Hill,West Penn Pool,2
2023-04-03,Polish Hill,West Penn Pool,22
2023-04-03,Polish Hill,West Penn Pool,27
2023-04-03,Polish Hill,West Penn Pool,10
2023-04-03,Polish Hill,West Penn Pool,17
2023-04-03,Polish Hill,West Penn Pool,17
2023-04-03,Polish Hill,West Penn Fields,69
2023-04-03,Polish Hill,West Penn Community Center,52
2023-04-01,Polish Hill,West Penn Community Center,1
2023-04-01,Polish Hill,West Penn Community Center,18
2023-04-01,Polish Hill,West Penn Community Center,5
2023-04-01,Polish Hill,West Penn Community Center,14
2023-04-01,Polish Hill,West Penn Community Center,27
2023-03-31,Polish Hill,West Penn Community Center,15
2023-03-31,Polish Hill,West Penn Community Center,3
2023-03-31,Polish Hill,West Penn Community Center,2
2023-03-31,Polish Hill,West Penn Community Center,39
2023-03-31,Polish Hill,West Penn Community Center,16
2023-03-31,Polish Hill,West Penn Community Center,9
2023-03-31,Polish Hill,West Penn Community Center,21
2023-03-31,Polish Hill,West Penn Community Center,65
2023-03-30,Polish Hill,West Penn Community Center,37
2023-03-30,Polish Hill,West Penn Community Center,16
2023-03-30,Polish Hill,West Penn Community Center,47
2023-03-30,Polish Hill,West Penn Community Center,12
2023-03-30,Polish Hill,West Penn Community Center,61
2023-03-30,Polish Hill,West Penn Community Center,15
2023-03-30,Polish Hill,West Penn Community Center,116
2023-03-29,Polish Hill,West Penn Community Center,41
2023-03-29,Polish Hill,West Penn Community Center,88
2023-03-29,Polish Hill,West Penn Community Center,4
2023-03-29,Polish Hill,West Penn Community Center,30
2023-03-29,Polish Hill,West Penn Community Center,9
2023-03-29,Polish Hill,West Penn Community Center,15
2023-03-29,Polish Hill,West Penn Community Center,55
2023-03-29,Polish Hill,West Penn Community Center,74
2023-03-28,Polish Hill,West Penn Community Center,58
2023-03-28,Polish Hill,West Penn Community Center,35
2023-03-28,Polish Hill,West Penn Community Center,6
2023-03-28,Polish Hill,West Penn Community Center,37
2023-03-28,Polish Hill,West Penn Community Center,25
2023-03-28,Polish Hill,West Penn Community Center,14
2023-03-28,Polish Hill,West Penn Community Center,83
2023-03-28,Polish Hill,West Penn Community Center,66
2023-03-28,Polish Hill,West Penn Community Center,17
2023-03-28,Polish Hill,West Penn Community Center,159
2023-03-27,Polish Hill,West Penn Community Center,53
2023-03-27,Polish Hill,West Penn Community Center,9
2023-03-27,Polish Hill,West Penn Community Center,22
2023-03-27,Polish Hill,West Penn Community Center,33
2023-03-27,Polish Hill,West Penn Community Center,23
2023-03-27,Polish Hill,West Penn Community Center,9
2023-03-27,Polish Hill,West Penn Community Center,15
2023-03-27,Polish Hill,West Penn Community Center,72
2023-03-27,Polish Hill,West Penn Community Center,51
2023-03-25,Polish Hill,West Penn Community Center,10
2023-03-25,Polish Hill,West Penn Community Center,5
2023-03-25,Polish Hill,West Penn Community Center,8
2023-03-25,Polish Hill,West Penn Community Center,31
2023-03-24,Polish Hill,West Penn Community Center,47
2023-03-24,Polish Hill,West Penn Community Center,6
2023-03-24,Polish Hill,West Penn Community Center,18
2023-03-24,Polish Hill,West Penn Community Center,35
2023-03-24,Polish Hill,West Penn Community Center,26
2023-03-24,Polish Hill,West Penn Community Center,26
2023-03-24,Polish Hill,West Penn Community Center,16
2023-03-24,Polish Hill,West Penn Community Center,18
2023-03-24,Polish Hill,West Penn Community Center,57
2023-03-24,Polish Hill,West Penn Community Center,42
2023-03-23,Polish Hill,West Penn Community Center,64
2023-03-23,Polish Hill,West Penn Community Center,2
2023-03-23,Polish Hill,West Penn Community Center,2
2023-03-23,Polish Hill,West Penn Community Center,25
2023-03-23,Polish Hill,West Penn Community Center,44
2023-03-23,Polish Hill,West Penn Community Center,24
2023-03-23,Polish Hill,West Penn Community Center,12
2023-03-23,Polish Hill,West Penn Community Center,29
2023-03-23,Polish Hill,West Penn Community Center,18
2023-03-23,Polish Hill,West Penn Community Center,93
2023-03-22,Polish Hill,West Penn Community Center,49
2023-03-22,Polish Hill,West Penn Community Center,63
2023-03-22,Polish Hill,West Penn Community Center,67
2023-03-22,Polish Hill,West Penn Community Center,23
2023-03-22,Polish Hill,West Penn Community Center,18
2023-03-22,Polish Hill,West Penn Community Center,35
2023-03-22,Polish Hill,West Penn Community Center,22
2023-03-22,Polish Hill,West Penn Community Center,40
2023-03-22,Polish Hill,West Penn Community Center,42
2023-03-21,Polish Hill,West Penn Community Center,38
2023-03-21,Polish Hill,West Penn Community Center,15
2023-03-21,Polish Hill,West Penn Community Center,5
2023-03-21,Polish Hill,West Penn Community Center,36
2023-03-21,Polish Hill,West Penn Community Center,18
2023-03-21,Polish Hill,West Penn Community Center,21
2023-03-21,Polish Hill,West Penn Community Center,12
2023-03-21,Polish Hill,West Penn Community Center,75
2023-03-21,Polish Hill,West Penn Community Center,12
2023-03-20,Polish Hill,West Penn Community Center,44
2023-03-20,Polish Hill,West Penn Community Center,2
2023-03-20,Polish Hill,West Penn Community Center,19
2023-03-20,Polish Hill,West Penn Community Center,40
2023-03-20,Polish Hill,West Penn Community Center,25
2023-03-20,Polish Hill,West Penn Community Center,26
2023-03-20,Polish Hill,West Penn Community Center,18
2023-03-20,Polish Hill,West Penn Community Center,83
2023-03-18,Polish Hill,West Penn Community Center,25
2023-03-18,Polish Hill,West Penn Community Center,1
2023-03-18,Polish Hill,West Penn Community Center,7
2023-03-18,Polish Hill,West Penn Community Center,4
2023-03-18,Polish Hill,West Penn Community Center,2
2023-03-18,Polish Hill,West Penn Community Center,30
2023-03-17,Polish Hill,West Penn Community Center,26
2023-03-17,Polish Hill,West Penn Community Center,3
2023-03-17,Polish Hill,West Penn Community Center,25
2023-03-17,Polish Hill,West Penn Community Center,39
2023-03-17,Polish Hill,West Penn Community Center,5
2023-03-17,Polish Hill,West Penn Community Center,61
2023-03-17,Polish Hill,West Penn Community Center,12
2023-03-17,Polish Hill,West Penn Community Center,34
2023-03-17,Polish Hill,West Penn Community Center,68
2023-03-16,Polish Hill,West Penn Community Center,41
2023-03-16,Polish Hill,West Penn Community Center,17
2023-03-16,Polish Hill,West Penn Community Center,13
2023-03-16,Polish Hill,West Penn Community Center,39
2023-03-16,Polish Hill,West Penn Community Center,82
2023-03-16,Polish Hill,West Penn Community Center,36
2023-03-16,Polish Hill,West Penn Community Center,18
2023-03-16,Polish Hill,West Penn Community Center,111
2023-03-16,Polish Hill,West Penn Community Center,22
2023-03-16,Polish Hill,West Penn Community Center,119
2023-03-15,Polish Hill,West Penn Community Center,35
2023-03-15,Polish Hill,West Penn Community Center,3
2023-03-15,Polish Hill,West Penn Community Center,66
2023-03-15,Polish Hill,West Penn Community Center,34
2023-03-15,Polish Hill,West Penn Community Center,15
2023-03-15,Polish Hill,West Penn Community Center,54
2023-03-15,Polish Hill,West Penn Community Center,11
2023-03-15,Polish Hill,West Penn Community Center,69
2023-03-15,Polish Hill,West Penn Community Center,48
2023-03-14,Polish Hill,West Penn Community Center,39
2023-03-14,Polish Hill,West Penn Community Center,16
2023-03-14,Polish Hill,West Penn Community Center,2
2023-03-14,Polish Hill,West Penn Community Center,40
2023-03-14,Polish Hill,West Penn Community Center,19
2023-03-14,Polish Hill,West Penn Community Center,32
2023-03-14,Polish Hill,West Penn Community Center,18
2023-03-14,Polish Hill,West Penn Community Center,47
2023-03-14,Polish Hill,West Penn Community Center,15
2023-03-14,Polish Hill,West Penn Community Center,145
2023-03-13,Polish Hill,West Penn Community Center,60
2023-03-13,Polish Hill,West Penn Community Center,4
2023-03-13,Polish Hill,West Penn Community Center,15
2023-03-13,Polish Hill,West Penn Community Center,49
2023-03-13,Polish Hill,West Penn Community Center,22
2023-03-13,Polish Hill,West Penn Community Center,48
2023-03-13,Polish Hill,West Penn Community Center,11
2023-03-13,Polish Hill,West Penn Community Center,42
2023-03-13,Polish Hill,West Penn Community Center,76
2023-03-12,Polish Hill,West Penn Community Center,3
2023-03-11,Polish Hill,West Penn Community Center,1
2023-03-11,Polish Hill,West Penn Community Center,5
2023-03-11,Polish Hill,West Penn Community Center,10
2023-03-11,Polish Hill,West Penn Community Center,12
2023-03-11,Polish Hill,West Penn Community Center,104
2023-03-10,Polish Hill,West Penn Community Center,32
2023-03-10,Polish Hill,West Penn Community Center,13
2023-03-10,Polish Hill,West Penn Community Center,8
