neighborhood,obesity
Bluff,0.246935849
Central Business District,0.668012041
Strip District,0.369996439
Crawford Roberts,0.488690884
West oakland,0.366390731
North oakland,0.155867454
Central Oakland,0.112780394
Central Oakland,0.144556151
South Oakland,0.281331416
Middle Hill,0.608099152
Upper Hill,0.455786185
Bedford Dwellings,0.636222228
Terrace Village,0.555072799
Terrace Village,0.793133039
Lower Lawrenceville,0.319568655
Polish Hill,0.320700606
Shadyside,0.128451261
Shadyside,0.130383004
Shadyside,0.11853283
Shadyside,0.134519846
Shadyside,0.1267053
Bloomfield,0.281425391
Bloomfield,0.185609561
Bloomfield,0.181223911
Friendship,0.220125706
Bloomfield,0.233013709
Central Lawrenceville,0.298582516
Central Lawrenceville,0.287296375
Bloomfield,0.280485189
Stanton Heights,0.366929026
Upper Lawrenceville,0.33469413
Morningside,0.275901608
Garfield,0.576886305
Garfield,0.45057975
Stanton Heights,0.28363609
Highland Park,0.243037233
Highland Park,0.217419795
East Liberty,0.414946833
Garfield,0.547886004
East Liberty,0.445041326
Larimer,0.560447807
Homewood West,0.565709871
Larimer,0.47467107
Homewood North,0.619584038
Homewood North,0.573265754
Homewood South,0.558808603
Homewood South,0.660584734
East Hills,0.562136738
Squirrel Hill North,0.080288025
Squirrel Hill North,0.134710419
Squirrel Hill North,0.162825512
Point Breeze,0.148783612
Point Breeze North,0.357949761
Point Breeze,0.1862044
Squirrel Hill South,0.159693253
Regent Square,0.160133394
Swisshelm Park,0.24942228
Squirrel Hill South,0.164995723
Squirrel Hill South,0.194095224
Hazelwood,0.399853175
Greenfield,0.296249604
Greenfield,0.230732413
Southside Slopes,0.303620654
Southside Flats,0.250236692
Southside Flats,0.244124264
Southside Slopes,0.276238992
Allentown,0.353924826
Mount Washington,0.284661545
Mount Washington,0.239971797
Duquesne Heights,0.248010116
Mount Washington,0.264857444
Mount Washington,0.283163115
Beechview,0.295784557
Brookline,0.288113416
Brookline,0.271680325
Brookline,0.281736013
Beechview,0.281814181
Sheraden,0.308735055
Banksville,0.239786459
Manchester,0.498043254
Central Northside,0.397141353
Troy Hill/Herr's Island,0.311833933
Spring Garden,0.311407872
Central Northside,0.487120872
California Kirkbride,0.771046408
Fineview,0.499128646
Perry North,0.315350013
Perry North,0.327274513
Northview Heights,0.92293244
Summer Hill,0.302258313
Perry South,0.495056886
Perry South,0.411792085
Spring Hill-Cityview,0.335105173
Brighton Heights,0.297589356
Brighton Heights,0.295852594
Marshall-Shadeland,0.606853235
Brighton Heights,0.292287303
Marshall-Shadeland,0.353353216
Crafton Heights,0.344212543
Crafton Heights,0.293820022
Carrick,0.307687359
Carrick,0.310517328
Carrick,0.296869432
Knoxville,0.390726631
Lincoln Place,0.308693843
New Homestead,0.316983455
Overbrook,0.310046649
Brookline,0.279139614
Overbrook,0.294503447
Arlington,0.334520462
Arlington Heights,0.473120252
Saint Clair,0.699500402
Mount Oliver Neighborhood,0.380567299
Lincoln-Lemington-Belmar,0.637099034
North Oakland,0.070352811
Hazelwood,0.371847244
Glen Hazel,0.383138055
Bon Air,0.289504665
Beltzhoover,0.479978155
Esplen,0.348333537
Sheraden,0.348089355
West End,0.287903689
Elliott,0.344055061
Allegheny West,0.20639897
Allegheny Center,0.313581335
East Carnegie,0.332559825
Oakwood,0.268579214
Hays,0.306539098
Chartiers City,0.438444683
Windgap,0.340615473
Fairywood,0.820311359
Ridgemont,0.27678553
Westwood,0.268105915
East Allegheny,0.388730745
Lincoln-Lemington-Belmar,0.525315088
Chateau,0.439386232
South Shore,0.354375073
North Shore,0.12148674
Lincoln-Lemington-Belmar,0.574293284
North Oakland,0.138805552
